#HitMtrlParam=HIT_MTRL_PARAM_ST
ID,Name,aiVolumeRate - aiVolumeRate - f32,spEffectId0 - spEffectId0 - s32,spEffectId1 - spEffectId1 - s32,FootEffectHeightType0 - FootEffectHeightType0 - u8,FootEffectHeightType1 - FootEffectHeightType1 - u8,footEffectDirType0 - footEffectDirType0 - u8,footEffectDirType1 - footEffectDirType1 - u8,newSpType0 - newSpType0 - u8,newSpType1 - newSpType1 - u8,unkb1 - unkb1 - u8,unkb2 - unkb2 - u8,HitMtrlType0 - HitMtrlType0 - u8,HitMtrlType1 - HitMtrlType1 - u8,HitMtrlType2 - HitMtrlType2 - u8,spEffectId2 - spEffectId2 - s32,spEffectId3 - spEffectId3 - s32,spEffectId4 - spEffectId4 - s32,spEffectId5 - spEffectId5 - s32,spEffectId6 - spEffectId6 - s32,spEffectId7 - spEffectId7 - s32,spEffectId8 - spEffectId8 - s32,spEffectId9 - spEffectId9 - s32,spEffectId10 - spEffectId10 - s32,spEffectId11 - spEffectId11 - s32,spEffectId12 - spEffectId12 - s32,spEffectId13 - spEffectId13 - s32,spEffectId14 - spEffectId14 - s32,spEffectId15 - spEffectId15 - s32,spEffectId16 - spEffectId16 - s32,pad1 - pad1 - dummy8
0,Dummy -- ダミー,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
1,Cobblestone -- 石畳,1,-1,-1,0,0,0,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
2,Stone -- 石,1,-1,-1,0,0,0,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
3,Soil -- 土,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
4,Wood -- 木材,1,-1,-1,0,0,0,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
5,Grassland -- 草地,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
6,Gravel -- 砂利,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
7,Gaps -- 欠番,1,4020,-1,0,1,1,0,0,0,0,0,0,0,0,-1,4020,4020,4020,4020,4020,4020,4020,-1,-1,-1,-1,-1,-1,-1,-
8,Trees -- 樹木,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
9,Swamp -- 沼,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
