#NetworkAreaParam=NETWORK_AREA_PARAM_ST
ID,Name,cellSizeX - セルサイズX - f32,cellSizeY - セルサイズY - f32,cellSizeZ - セルサイズZ - f32,cellOffsetX - セルオフセットX - f32,cellOffsetY - セルオフセットY - f32,cellOffsetZ - セルオフセットZ - f32,enableBloodstain - 血痕・死亡幻影有効 - BOOL_CIRCLECROSS_TYPE,enableBloodMessage - 血文字有効 - BOOL_CIRCLECROSS_TYPE,enableGhost - 幻影有効 - BOOL_CIRCLECROSS_TYPE,enableMultiPlay - マルチプレイ有効 - BOOL_CIRCLECROSS_TYPE,enableRingSearch - 指輪検索有効 - BOOL_CIRCLECROSS_TYPE,enableBreakInSearch - 乱入検索有効 - BOOL_CIRCLECROSS_TYPE,dummy[3] - ダミー - dummy8
0,Default (delete not allowed) -- デフォルト（削除禁止）,30,20,30,0,0,0,0,0,0,0,0,0,00-00-00
300000,Ojo of caries 1 -- 蝕の王城1,30,20,30,0,0,0,1,1,1,1,1,1,00-00-00
301000,,30,20,30,0,0,0,1,1,1,1,1,1,00-00-00
307000,,30,20,30,0,0,0,1,1,1,1,1,1,00-00-00
310000,City of Towers -- 塔の街,30,20,30,0,0,0,1,1,1,1,1,1,00-00-00
320000,The Bridge of Flying Dragon -- 飛竜の橋,30,20,30,0,0,0,1,1,1,1,1,1,00-00-00
330000,Poison Swamp Forest -- 毒沼の森,30,20,30,0,0,0,1,1,1,1,1,1,00-00-00
341000,Ojo of caries 3 -- 蝕の王城3,30,20,30,0,0,0,1,1,1,1,1,1,00-00-00
350000,Cathedral Church -- 聖堂教会,30,20,30,0,0,0,1,1,1,1,1,1,00-00-00
370000,Anole ruins -- アノール遺跡,30,20,30,0,0,0,1,1,1,1,1,1,00-00-00
380000,Dungeon -- ダンジョン,30,20,30,0,0,0,1,1,1,1,1,1,00-00-00
390000,Dungeon -- 地下牢,30,20,30,0,0,0,1,1,1,1,1,1,00-00-00
400000,Base -- 拠点,30,20,30,0,0,0,1,1,1,1,1,1,00-00-00
410000,,30,20,30,0,0,0,1,1,1,1,1,1,00-00-00
450000,,30,20,30,0,0,0,1,1,1,1,1,1,00-00-00
460000,,30,20,30,0,0,0,0,0,0,0,0,0,00-00-00
470000,,30,20,30,0,0,0,0,0,0,0,0,0,00-00-00
500000,,30,20,30,0,0,0,1,1,1,1,1,1,00-00-00
510000,,30,20,30,0,0,0,1,1,1,1,1,1,00-00-00
511000,,30,20,30,0,0,0,1,1,1,1,1,1,00-00-00
530000,,30,20,30,0,0,0,0,0,0,0,0,0,00-00-00
540000,,30,20,30,0,0,0,0,0,0,0,0,0,00-00-00
981000,Multi-Play Test map -- マルチプレイテストマップ,30,20,30,0,0,0,1,1,1,1,1,1,00-00-00
991000,Old multi-play test map -- 旧マルチプレイテストマップ,30,20,30,0,0,0,1,1,1,1,1,1,00-00-00
