#PlayRegionParam=PLAY_REGION_PARAM_ST
ID,Name,multiPlayZoneId - マルチプレイ区間ID - s32,multiPlayStartLimitEventFlagId - マルチプレイ開始制限イベントフラグID - s32,otherDisableDistance - その他霊侵入不可能距離 - f32,pcPositionSaveLimitEventFlagId - PC位置セーブ制限イベントフラグID - s32,multiPlayHostLimitEventFlagId - マルチプレイホスト制限イベントフラグ - s32,reserve[12] - 予約領域 - dummy8
0,Invalid data (no deletion) -- 無効データ（削除禁止）,0,0,0,0,0,FF-FF-00-00-FF-FF-FF-FF-FF-FF-FF-FF
300001,Ojo 1_01 -- 王城1_01,300010,13000201,20,0,13000825,B4-00-00-00-60-CE-2D-00-62-CE-2D-00
300002,Ojo 1_02 -- 王城1_02,300010,0,20,0,13000825,B4-00-00-00-60-CE-2D-00-62-CE-2D-00
300003,Ojo 1_03 -- 王城1_03,300010,0,20,0,13000825,B4-00-00-00-60-CE-2D-00-62-CE-2D-00
300004,Ojo 1_04 -- 王城1_04,300010,0,20,0,13000825,B4-00-00-00-60-CE-2D-00-62-CE-2D-00
300006,Ojo 1_06 -- 王城1_06,0,-1,20,13000890,0,B4-00-00-00-62-CE-2D-00-FF-FF-FF-FF
300007,Ojo 1_07 -- 王城1_07,0,-1,20,13000800,0,B4-00-00-00-60-CE-2D-00-FF-FF-FF-FF
300008,Ojo 1_08 -- 王城1_08,0,-1,20,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
300009,Ojo 1_09 -- 王城1_09,0,-1,20,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
300020,Ojo 1_20 -- 王城1_20,300020,0,20,0,13000830,B4-00-00-00-5F-CE-2D-00-FF-FF-FF-FF
300021,Ojo 1_21 -- 王城1_21,300020,0,20,0,13000830,B4-00-00-00-5F-CE-2D-00-FF-FF-FF-FF
300022,Ojo 1_22 -- 王城1_22,300020,0,20,0,13000830,B4-00-00-00-5F-CE-2D-00-FF-FF-FF-FF
300023,Ojo 1_24 -- 王城1_24,0,-1,20,13000830,0,B4-00-00-00-5F-CE-2D-00-FF-FF-FF-FF
300024,Ojo 1_25 -- 王城1_25,0,-1,20,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
301000,Ojo 2_00 -- 王城2_00,301010,0,20,0,13010800,B4-00-00-00-6F-F5-2D-00-70-F5-2D-00
301001,Ojo 2_01 -- 王城2_01,301010,0,20,0,13010800,B4-00-00-00-6F-F5-2D-00-FF-FF-FF-FF
301002,Ojo 2_02 -- 王城2_02,301010,0,20,0,13010800,B4-00-00-00-6F-F5-2D-00-FF-FF-FF-FF
301003,Ojo 2_03 -- 王城2_03,301010,0,20,0,13010800,B4-00-00-00-6F-F5-2D-00-FF-FF-FF-FF
301010,Ojo 2_10 -- 王城2_10,0,-1,20,13010800,0,B4-00-00-00-6F-F5-2D-00-FF-FF-FF-FF
301011,Ojo 2_11 -- 王城2_11,0,-1,20,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
310000,_00 City of the tower -- 塔の街_00,310010,0,20,0,13100800,B4-00-00-00-FF-54-2F-00-01-55-2F-00
310001,_01 City of the tower -- 塔の街_01,310010,0,20,0,13100800,B4-00-00-00-FF-54-2F-00-01-55-2F-00
310002,_02 City of the tower -- 塔の街_02,310010,0,20,0,13100800,B4-00-00-00-FF-54-2F-00-00-55-2F-00
310003,_03 City of the tower -- 塔の街_03,310010,0,20,0,13100800,B4-00-00-00-FF-54-2F-00-FF-FF-FF-FF
310004,_04 City of the tower -- 塔の街_04,0,-1,20,0,0,B4-00-00-00-FF-54-2F-00-FF-FF-FF-FF
310020,_20 City of the tower -- 塔の街_20,0,-1,20,13100800,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
310021,_21 City of the tower -- 塔の街_21,0,-1,20,0,0,B4-00-00-00-44-62-32-00-FF-FF-FF-FF
320001,Bridge _01 -- 橋_01,320010,0,20,0,13200800,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
320002,Bridge _02 -- 橋_02,0,-1,20,13200800,0,B4-00-00-00-A1-DB-30-00-9F-DB-30-00
320010,Bridge _10 -- 橋_10,320020,0,20,0,13200850,B4-00-00-00-A1-DB-30-00-9F-DB-30-00
320011,Bridge _11 -- 橋_11,0,-1,20,13200850,0,B4-00-00-00-A1-DB-30-00-9F-DB-30-00
320012,,320020,0,20,0,13200850,B4-00-00-00-A1-DB-30-00-9F-DB-30-00
320013,,320020,0,20,0,13200850,B4-00-00-00-A1-DB-30-00-9F-DB-30-00
320020,,0,-1,20,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
330000,,0,-1,20,13300850,0,B4-00-01-00-40-62-32-00-FF-FF-FF-FF
330001,Poison Swamp forest _01 -- 毒沼の森_01,330010,0,20,0,13300110,B4-00-01-00-40-62-32-00-41-62-32-00
330002,Poison Swamp forest _02 -- 毒沼の森_02,330010,0,20,0,13300110,B4-00-01-00-40-62-32-00-41-62-32-00
330010,,0,-1,20,13300800,0,B9-00-00-00-3F-62-32-00-FF-FF-FF-FF
330011,,330020,0,20,0,13300800,B9-00-01-00-3F-62-32-00-42-62-32-00
330012,,330020,0,20,0,13300800,B9-00-01-00-3F-62-32-00-FF-FF-FF-FF
330013,,330020,0,20,0,13300800,B9-00-01-00-3F-62-32-00-FF-FF-FF-FF
330014,,330020,0,20,0,13300800,B9-00-01-00-3F-62-32-00-FF-FF-FF-FF
330015,,330020,0,20,0,13300800,B9-00-01-00-3F-62-32-00-FF-FF-FF-FF
330020,,0,-1,20,0,0,B4-00-00-00-3F-62-32-00-40-62-32-00
330021,,0,-1,20,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
330022,,0,-1,20,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
341000,Ojo 3_00 -- 王城3_00,341010,13410595,20,0,13410830,B4-00-00-00-EE-0F-34-00-FF-FF-FF-FF
341001,Ojo 3_01 -- 王城3_01,341010,13410595,20,0,13410830,B4-00-00-00-EE-0F-34-00-FF-FF-FF-FF
341002,Ojo 3_02 -- 王城3_02,341010,13410595,20,0,13410830,B4-00-00-00-EE-0F-34-00-FF-FF-FF-FF
341003,Ojo 3_03 -- 王城3_03,341010,13410595,20,0,13410830,B4-00-00-00-EE-0F-34-00-FF-FF-FF-FF
341010,Ojo 3_10 -- 王城3_10,0,-1,20,13410830,0,B4-00-00-00-EE-0F-34-00-FF-FF-FF-FF
341011,Ojo 3_11 -- 王城3_11,0,-1,20,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
350000,,0,-1,20,13500800,0,B4-00-00-00-7F-6F-35-00-80-6F-35-00
350001,Basilica Church _01 -- 聖堂教会_01,350010,0,20,0,13500800,B4-00-00-00-7F-6F-35-00-80-6F-35-00
350002,Basilica Church _02 -- 聖堂教会_02,350010,0,20,0,13500800,B4-00-00-00-7F-6F-35-00-80-6F-35-00
350003,Basilica Church _03 -- 聖堂教会_03,350010,0,20,0,13500800,B4-00-00-00-7F-6F-35-00-80-6F-35-00
350004,,350010,0,20,0,13500800,B4-00-00-00-7F-6F-35-00-80-6F-35-00
350005,,350010,0,20,0,13500800,B4-00-00-00-7F-6F-35-00-80-6F-35-00
350010,,0,-1,20,0,0,B4-00-00-00-80-6F-35-00-FF-FF-FF-FF
350011,,350020,0,20,0,13500800,B4-00-00-00-80-6F-35-00-FF-FF-FF-FF
350020,,0,-1,20,0,0,B4-00-00-00-7E-6F-35-00-7F-6F-35-00
360001,God Grave _01 -- 神墓_01,360010,0,20,0,13600850,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
360002,God Grave _02 -- 神墓_02,0,-1,20,13600800,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
360003,God Grave _03 -- 神墓_03,0,-1,20,13600850,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
370001,Anole Ruins _01 -- アノール遺跡_01,370010,13700201,20,0,13700850,B4-00-00-00-BF-7C-38-00-BE-7C-38-00
370002,Anole Ruins _02 -- アノール遺跡_02,370010,0,20,0,13700850,B4-00-00-00-BF-7C-38-00-FF-FF-FF-FF
370003,Anole Ruins _03 -- アノール遺跡_03,370010,0,20,0,13700850,B4-00-00-00-BF-7C-38-00-C3-7C-38-00
370004,,370010,0,20,0,13700850,B4-00-00-00-BF-7C-38-00-FF-FF-FF-FF
370005,,370010,0,20,0,13700850,B4-00-00-00-BF-7C-38-00-FF-FF-FF-FF
370006,,0,-1,20,13700850,0,B4-00-00-00-BF-7C-38-00-FF-FF-FF-FF
370007,,0,-1,20,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
370008,,0,-1,20,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
370010,,370020,0,20,0,13700800,B9-00-01-00-C0-7C-38-00-C1-7C-38-00
370011,,370020,0,20,0,13700800,B9-00-01-00-C0-7C-38-00-C1-7C-38-00
370012,,370020,0,20,0,13700800,B9-00-01-00-C0-7C-38-00-FF-FF-FF-FF
370013,,0,-1,20,13700800,0,B9-00-00-00-C0-7C-38-00-FF-FF-FF-FF
380000,,0,-1,20,13800800,0,B4-00-00-00-5E-03-3A-00-FF-FF-FF-FF
380001,Dungeon _01 -- ダンジョン_01,380010,0,20,0,13800800,B4-00-00-00-5E-03-3A-00-FF-FF-FF-FF
380002,Dungeon _02 -- ダンジョン_02,380010,0,20,0,13800800,B4-00-00-00-5E-03-3A-00-FF-FF-FF-FF
380003,Dungeon _03 -- ダンジョン_03,0,-1,20,0,0,B4-00-00-00-62-03-3A-00-FF-FF-FF-FF
380010,,0,-1,20,13800830,0,B9-00-00-00-62-03-3A-00-FF-FF-FF-FF
380011,,0,-1,20,13800830,0,B9-00-00-00-62-03-3A-00-FF-FF-FF-FF
380012,,380020,0,20,0,13800830,B9-00-00-00-62-03-3A-00-FF-FF-FF-FF
380013,,380020,0,20,0,13800830,B9-00-00-00-62-03-3A-00-FF-FF-FF-FF
380014,,380020,0,20,0,13800830,B9-00-00-00-62-03-3A-00-FF-FF-FF-FF
380015,,380020,0,20,0,13800830,B9-00-00-00-62-03-3A-00-FF-FF-FF-FF
380016,,380020,0,20,0,13800830,B9-00-00-00-62-03-3A-00-FF-FF-FF-FF
380020,,0,-1,20,0,0,B4-00-00-00-64-03-3A-00-FF-FF-FF-FF
380021,,0,-1,20,0,0,B4-00-00-00-5E-03-3A-00-FF-FF-FF-FF
390000,,390010,0,20,0,13900800,B4-00-00-00-9F-DB-30-00-00-8A-3B-00
390001,Dungeon _01 -- 地下牢_01,390010,0,20,0,13900800,B4-00-00-00-9F-DB-30-00-00-8A-3B-00
390002,Dungeon _02 -- 地下牢_02,390010,0,20,0,13900800,B4-00-00-00-9F-DB-30-00-00-8A-3B-00
390003,Dungeon _03 -- 地下牢_03,390010,0,20,0,13900800,B4-00-00-00-9F-DB-30-00-FF-FF-FF-FF
390004,,390010,0,20,0,13900800,B4-00-00-00-9F-DB-30-00-FF-FF-FF-FF
390005,,0,-1,20,13900800,0,B4-00-00-00-9F-DB-30-00-FF-FF-FF-FF
390006,,0,-1,20,0,0,B4-00-00-00-9F-DB-30-00-00-8A-3B-00
400000,,0,-1,20,14000830,0,B4-00-00-00-9E-10-3D-00-FF-FF-FF-FF
400001,Base _01 -- 拠点_01,400010,0,20,0,14000830,B4-00-00-00-9E-10-3D-00-FF-FF-FF-FF
400002,Base _02 -- 拠点_02,0,-1,20,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
400010,,0,-1,20,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
400100,,0,-1,20,14000800,0,B4-00-00-00-9E-10-3D-00-FF-FF-FF-FF
400101,,0,-1,20,0,0,B4-00-00-00-9E-10-3D-00-FF-FF-FF-FF
400102,,0,-1,20,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
400110,,0,-1,20,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
410000,,0,-1,20,14100800,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
410001,,410010,0,20,0,14100800,B4-00-00-00-3F-97-3E-00-FF-FF-FF-FF
410002,,0,-1,20,0,0,B4-00-00-00-3E-97-3E-00-FF-FF-FF-FF
450000,,0,-1,20,14500800,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
450001,,450010,0,20,0,14500890,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
450002,,450010,0,20,0,14500890,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
450003,,450010,0,20,0,14500890,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
450004,,450010,0,20,0,14500890,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
450005,,450010,0,20,0,14500890,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
450006,,450010,0,20,0,14500890,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
450010,,0,-1,20,14500860,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
450011,,450020,0,20,0,14500890,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
450020,,0,-1,20,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
460000,,460010,0,20,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
470000,,470010,0,20,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
500000,,0,-1,20,15000800,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
500001,,500010,0,20,0,15000800,B4-00-00-02-FF-FF-FF-FF-FF-FF-FF-FF
500002,,500010,0,20,0,15000800,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
500003,,500010,0,20,0,15000800,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
500020,,0,-1,20,0,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
510000,,0,-1,10,15100895,0,B4-00-00-00-FF-FF-FF-FF-FF-FF-FF-FF
510001,,510010,0,20,0,15100890,B4-00-00-01-FF-FF-FF-FF-FF-FF-FF-FF
