#WepAbsorpPosParam=WEP_ABSORP_POS_PARAM_ST
ID,Name,ShealthTime - ShealthTime - u8,pad1 - pad1 - dummy8,OneHandDamipolyId0 - OneHandDamipolyId0 - u16,OneHandDamipolyId1 - OneHandDamipolyId1 - u16,BothHandDamipolyId0 - BothHandDamipolyId0 - u16,ShealthDamipolyId0 - ShealthDamipolyId0 - u16,ShealthDamipolyId1 - ShealthDamipolyId1 - u16,OneHandDamipolyId2 - OneHandDamipolyId2 - u16,OneHandDamipolyId3 - OneHandDamipolyId3 - u16,BothHandDamipolyId1 - BothHandDamipolyId1 - u16,ShealthDamipolyId2 - ShealthDamipolyId2 - u16,ShealthDamipolyId3 - ShealthDamipolyId3 - u16,OneHandDamipolyId4 - OneHandDamipolyId4 - u16,OneHandDamipolyId5 - OneHandDamipolyId5 - u16,BothHandDamipolyId2 - BothHandDamipolyId2 - u16,ShealthDamipolyId4 - ShealthDamipolyId4 - u16,ShealthDamipolyId5 - ShealthDamipolyId5 - u16,OneHandDamipolyId6 - OneHandDamipolyId6 - u16,OneHandDamipolyId7 - OneHandDamipolyId7 - u16,BothHandDamipolyId3 - BothHandDamipolyId3 - u16,ShealthDamipolyId6 - ShealthDamipolyId6 - u16,ShealthDamipolyId7 - ShealthDamipolyId7 - u16,Unk22 - Unk22 - u8,Unk23 - Unk23 - u8,Unk24 - Unk24 - u8,Unk25 - Unk25 - u8,BothHandDamipolyId4 - BothHandDamipolyId4 - s16,BothHandDamipolyId5 - BothHandDamipolyId5 - s16,BothHandDamipolyId6 - BothHandDamipolyId6 - s16,BothHandDamipolyId7 - BothHandDamipolyId7 - s16,Unk30 - Unk30 - u8,Unk31 - Unk31 - u8,Unk32 - Unk32 - u8,Unk33 - Unk33 - u8,Unk34 - Unk34 - u8,Unk35 - Unk35 - u8,Unk36 - Unk36 - u8,Unk37 - Unk37 - u8,Unk38 - Unk38 - u8,Unk39 - Unk39 - u8,Unk40 - Unk40 - u8,Unk41 - Unk41 - u8,Unk42 - Unk42 - u8,Unk43 - Unk43 - u8,Unk44 - Unk44 - u8,Unk45 - Unk45 - u8,Unk46 - Unk46 - u8,Unk47 - Unk47 - u8,Unk48 - Unk48 - u8,Unk49 - Unk49 - u8,Unk50 - Unk50 - u8,Unk51 - Unk51 - u8,Unk52 - Unk52 - u8,Unk53 - Unk53 - u8,pad2 - pad2 - dummy8
0,Test -- test,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
3,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
4,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
5,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
6,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
7,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
8,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
9,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
10,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
11,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
12,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
13,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
14,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
15,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
16,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
17,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
18,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
19,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
20,Dagger (normal) -- 短剣(通常),0,-,20,21,24,31,30,30,31,30,31,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,31,0,0,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-
21,Dagger (piercing) -- 短剣(刺突),0,-,20,21,24,31,30,30,31,30,31,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,31,0,0,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-
22,Dagger (throwing) -- 短剣(投擲),0,-,20,21,24,31,30,30,31,30,31,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,31,0,0,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-
